# gap voltage	gap current 	mode	number frequency
263.2			6.68			3		2.99E+05
262.1			5.79    		3		3.51E+05
261.4			4.86			3		4.51E+05
260.9			3.91			NaN		NaN
258.4			3.16			4		2.70E+05
257.2			2.28			4		2.90E+05
257  			1.3				NaN		NaN
257.5			1.25			NaN		NaN
257.9			2.21			4		2.80E+05
259.1			3.09			4		2.80E+05
261.8			3.82			NaN		NaN
261.8			3.82			NaN		NaN
263.5			4.65			NaN		NaN
265.8			6.42			3		2.99E+05
268  			7.2				3		2.68E+05
270.5			7.95			3		2.40E+05
272.8			8.72			3		2.21E+05
275.2			9.48			3		2.00E+05
277.4			10.26			3		1.80E+05 
249.0
